TotalHouseArea,TotalBathrooms,HouseAge,RemodelAge,TotalPorchSF
2566,3.5,5,5,61
2524,2.5,31,31,298
2706,3.5,7,6,42
2473,2.0,91,36,307
3343,3.5,8,8,276
2158,2.5,16,14,390
3380,3.0,3,2,312
3197,3.5,36,36,667
2726,2.0,77,58,295
2068,2.0,69,58,4
2080,2.0,43,43,0
3499,4.0,1,0,168
1824,2.0,46,46,316
2988,2.0,1,0,193
2506,2.5,48,48,389
1686,1.0,78,6,160
2008,2.0,40,40,0
1296,2.0,39,39,0
2228,2.5,4,4,102
2368,1.0,51,44,0
3534,3.5,1,0,394
1745,1.0,77,57,205
3572,2.0,6,6,330
2100,2.0,31,31,210
2120,2.0,42,9,496
3166,2.0,2,2,56
1800,1.5,59,10,254
3408,3.0,3,2,50
3084,2.0,49,9,546
1040,1.0,81,58,136
1966,1.0,88,58,226
2456,1.5,42,2,65
2468,2.0,1,1,30
3098,2.0,51,51,38
3122,3.0,2,2,250
3569,3.5,2,1,145
2194,1.5,15,14,456
2594,1.5,55,19,0
2114,2.0,57,3,52
1152,2.0,53,53,0
2412,2.0,41,41,138
2678,2.0,48,48,104
1724,2.0,24,24,240
1876,2.0,33,28,145
2300,2.0,47,47,0
3504,3.0,5,5,278
3583,2.5,6,6,409
3312,2.0,1,1,146
2188,2.0,89,1,102
1910,2.0,41,41,0
2264,2.5,10,10,75
1632,1.0,72,56,112
1632,2.0,47,47,106
3684,2.5,25,19,929
1744,1.0,52,52,50
2850,2.0,44,44,407
2709,3.5,10,9,115
2580,2.5,2,2,70
4355,3.5,0,0,229
1560,1.0,36,36,196
2316,2.5,2,2,50
1641,1.0,87,11,144
2740,2.0,1,1,169
2286,2.0,89,60,87
3091,3.5,12,11,612
3616,2.5,3,2,343
4154,3.0,40,21,301
2932,3.0,4,4,173
1494,1.0,65,60,0
3591,2.0,53,53,135
4446,3.0,34,34,300
1690,2.0,25,1,0
2550,2.5,11,11,385
2172,2.0,56,7,0
2445,2.0,95,60,202
1450,2.0,36,36,221
1904,1.0,52,52,0
1957,2.0,60,7,0
3536,2.0,42,42,0
1670,1.5,99,28,202
3038,2.5,41,41,324
2574,3.0,8,8,199
3126,2.0,1,1,243
2130,1.5,47,47,74
1858,2.5,14,13,192
3705,2.5,15,14,209
2244,2.5,4,4,138
1836,2.5,0,0,234
2026,1.0,94,27,156
1980,2.0,13,12,0
1040,1.0,56,56,29
2470,1.0,45,45,0
1840,2.0,88,3,44
3505,2.5,97,9,99
2610,3.5,10,10,162
2150,2.5,16,16,295
3176,2.0,7,7,187
1920,2.0,42,42,120
1293,1.0,90,60,77
2175,2.5,51,51,352
3220,3.0,33,9,236
2473,2.5,25,25,238
1535,2.0,30,30,0
2452,2.0,1,1,36
2858,1.5,76,57,184
3045,2.5,5,4,185
1688,1.0,122,12,0
1578,1.0,60,58,0
2310,2.0,88,2,144
3688,2.0,33,33,122
2849,2.0,52,34,182
1814,2.5,10,10,180
3960,3.5,0,0,472
4068,3.0,54,54,478
3348,3.5,62,5,224
2187,2.5,8,8,32
2184,1.5,47,47,164
2250,1.5,1,0,144
4895,4.0,20,20,367
2184,2.5,1,0,24
1926,2.0,37,37,260
1855,1.0,68,57,140
2160,1.0,50,50,130
2398,2.0,15,15,63
2948,2.0,30,11,192
1040,2.0,71,24,53
2036,2.0,31,31,205
1512,1.0,77,57,0
2008,1.5,40,40,296
2061,2.0,48,15,260
3081,2.5,40,40,171
3046,3.5,9,9,72
2390,2.0,48,5,0
2563,3.0,8,7,217
3182,2.5,38,13,276
2986,2.0,38,38,98
2428,2.0,40,40,111
3866,3.0,18,17,0
2856,2.5,9,8,330
2692,3.5,12,12,375
1728,1.0,39,39,0
3468,3.0,1,1,184
2295,2.0,58,58,0
2991,3.0,10,10,173
3456,3.0,43,43,0
2679,2.0,2,0,40
1590,2.0,78,16,48
2919,2.5,9,9,192
2160,2.0,4,3,0
2240,1.0,70,56,314
1938,1.5,32,32,0
3420,3.0,1,0,102
2818,2.5,35,35,66
2854,2.0,48,33,409
2400,1.0,83,56,228
1668,1.0,84,58,136
1040,1.0,56,56,0
2742,2.5,1,0,75
2938,2.5,6,5,136
3854,3.5,1,0,539
2464,2.0,24,24,0
4240,3.5,5,4,400
3082,2.0,5,5,70
1764,1.0,51,51,0
2765,2.0,81,3,183
1999,3.0,68,9,140
3484,2.0,54,16,618
3743,2.5,0,0,298
2560,2.5,3,3,148
3393,2.5,25,25,638
1574,1.5,66,57,237
2736,2.0,50,50,272
2831,3.0,19,19,476
2724,2.5,47,47,20
3257,3.0,22,22,192
3360,3.0,57,6,68
3211,3.0,19,18,420
2972,3.0,48,48,0
4450,3.0,1,0,60
1936,1.0,84,1,184
2281,2.5,7,7,0
2595,1.5,86,56,40
1340,1.0,50,1,296
3444,2.5,5,5,518
1756,1.0,98,15,104
4143,2.5,114,13,670
2405,3.0,19,18,195
2172,2.5,93,22,140
2310,3.0,30,30,120
3186,2.5,7,6,344
3580,2.5,75,13,74
2204,2.5,35,3,32
2862,3.0,10,10,35
2679,2.0,2,2,40
1728,1.0,36,36,0
2311,2.5,33,33,87
3452,3.0,0,0,575
4080,3.5,88,16,568
2613,1.0,97,59,228
3426,3.0,5,4,196
2242,2.0,7,6,196
2475,2.5,31,31,321
1927,2.0,82,56,126
1696,2.0,4,4,149
2004,1.5,62,59,35
2866,2.0,19,19,542
2836,1.5,45,45,30
2200,2.0,48,48,355
3219,3.5,19,18,269
2184,2.0,44,44,0
1728,2.0,83,58,96
2424,2.0,1,1,122
2752,3.5,0,0,276
1980,1.5,11,11,224
2081,1.5,33,33,36
2306,1.5,49,10,0
2872,3.0,4,4,237
2014,1.0,81,56,232
2752,2.0,69,2,269
2496,2.0,1,0,108
2996,2.0,0,0,384
3277,2.5,7,7,166
2265,3.5,31,31,417
1728,1.0,38,38,216
4784,2.0,6,6,353
1932,2.5,38,38,0
3723,2.5,12,12,338
1470,1.5,38,38,0
1824,1.0,43,43,0
2928,2.0,4,3,163
2388,2.0,51,51,120
4256,3.5,14,13,348
1470,1.5,34,34,0
1788,2.0,34,34,365
2820,3.5,8,8,336
1470,1.5,37,37,0
2828,2.0,6,6,237
2740,2.5,17,7,678
3388,2.0,0,0,396
2222,1.5,65,60,140
3132,3.0,2,2,312
1552,1.0,62,10,100
1980,1.0,106,56,77
1843,1.5,29,29,28
3058,3.5,16,8,130
3717,2.5,18,18,236
2948,2.0,96,56,172
2742,1.0,52,52,30
2508,2.5,4,4,212
3588,2.5,49,1,98
2034,1.0,70,44,263
3198,3.5,1,0,276
2438,2.5,4,4,183
2604,2.5,43,16,333
2628,2.0,53,53,250
3266,2.5,7,7,192
2592,2.5,5,5,272
3208,3.5,3,3,233
2755,2.5,7,7,341
882,1.0,52,52,45
2744,2.0,47,47,252
4056,2.5,0,0,148
1718,2.0,29,11,304
1852,2.0,81,9,0
1444,1.0,83,4,0
2844,2.0,27,27,276
2313,3.5,9,9,170
2492,2.5,69,11,286
1518,1.0,68,53,25
2256,2.5,31,31,400
3034,2.5,0,0,243
2748,2.0,54,3,81
3422,2.5,11,3,189
2872,3.0,51,21,289
1632,1.0,25,25,168
2500,2.5,84,2,218
3120,2.0,7,7,250
1728,1.0,59,59,0
4242,2.5,1,0,364
3182,2.5,31,31,405
2789,2.5,18,18,280
2524,2.0,0,0,120
2628,3.0,2,1,234
2936,2.0,1,0,360
3150,3.0,15,15,52
1875,2.5,1,0,54
2646,1.5,44,25,128
1716,1.0,35,35,0
1782,1.0,43,43,0
2094,1.0,92,4,259
2998,2.5,0,0,51
2496,3.0,96,8,184
2484,1.5,60,1,160
3058,3.5,29,12,250
3060,2.0,56,56,110
2006,2.0,22,22,120
2468,1.5,57,57,289
2925,2.5,10,9,208
2445,2.5,39,39,224
2244,1.5,59,5,36
2501,2.0,53,53,0
3480,2.5,9,8,258
3082,2.0,5,4,549
1788,2.0,34,34,256
4963,3.0,128,6,302
4000,3.0,3,2,168
2943,3.5,17,16,395
1725,1.0,88,58,144
1722,1.0,69,59,158
3840,3.0,3,2,383
2198,2.5,13,12,253
1944,2.0,61,7,0
1911,2.0,67,56,271
4172,4.0,44,44,0
2369,2.0,81,16,234
2148,3.5,5,4,151
3198,3.5,29,29,483
3047,2.5,1,1,254
3993,3.5,16,16,544
2844,3.0,29,29,281
3845,3.5,0,0,394
3604,3.5,3,3,338
4232,3.5,21,20,297
2325,2.0,51,1,240
3688,2.5,43,3,240
1523,1.0,66,57,244
3438,3.5,15,15,152
2766,1.5,46,46,45
2978,2.0,93,15,328
1788,1.0,89,59,137
3456,2.5,43,43,155
2112,2.0,49,15,0
4835,3.0,6,5,0
2716,3.0,4,4,222
2581,3.5,10,10,138
3285,4.0,43,43,670
3844,3.0,2,1,229
3072,3.0,6,5,266
2829,3.0,22,8,153
2430,1.0,51,11,234
2875,2.5,8,8,135
1562,1.0,59,59,274
1040,2.0,57,56,0
3368,2.0,3,3,567
1648,1.5,34,34,182
2549,1.0,67,56,0
1916,1.0,47,9,0
2956,3.0,49,49,40
2390,3.5,5,4,27
4576,3.5,1,0,0
3738,2.0,0,0,264
2906,2.5,20,20,264
1727,1.5,67,58,48
1344,1.0,82,7,106
2535,1.0,66,6,108
2400,3.0,12,12,26
2325,3.0,17,17,146
2284,2.5,31,31,626
2414,1.5,48,48,462
3010,3.5,8,8,657
1800,2.0,29,29,192
2388,2.0,68,26,0
1922,3.0,6,6,177
1470,1.5,37,2,250
2370,3.5,30,30,417
2016,1.0,89,12,346
2788,2.5,46,46,261
2530,1.5,46,46,174
2536,1.0,56,56,98
2350,2.0,51,4,563
2617,2.5,6,6,140
1588,2.0,49,49,59
1496,2.0,26,26,443
1927,2.0,56,56,66
2775,2.5,4,3,148
1587,1.5,87,59,0
1784,1.0,10,10,0
4046,3.0,3,2,373
3712,2.5,0,0,113
2782,2.5,9,9,163
2717,2.0,86,60,242
2594,3.0,0,0,337
2736,2.5,1,1,197
1568,1.0,81,59,91
3533,3.5,15,15,447
2525,2.0,6,5,310
1842,1.0,96,10,151
2166,2.0,33,33,296
2947,2.0,9,8,145
4014,3.5,1,0,330
2228,2.0,108,58,242
2765,3.5,8,7,317
882,1.0,48,48,0
1576,1.0,65,56,0
1769,1.0,67,57,39
2288,2.0,54,54,44
1788,1.0,37,37,215
2676,2.0,45,45,168
2038,1.0,87,57,0
2642,3.0,3,2,168
2548,2.5,12,12,374
2620,2.0,1,1,0
1344,1.0,68,11,168
3404,2.5,8,8,267
2378,2.5,12,11,40
2901,3.0,33,16,198
2230,1.0,72,58,0
2520,2.0,93,32,160
