iter	Passed	Remaining
0	10	3082
1	19	2920
2	27	2675
3	31	2336
4	35	2085
5	39	1953
6	44	1843
7	47	1748
8	51	1674
9	55	1615
10	59	1564
11	63	1519
12	66	1477
13	70	1437
14	73	1401
15	78	1397
16	83	1389
17	87	1372
18	91	1350
19	95	1336
20	99	1318
21	102	1301
22	106	1284
23	110	1268
24	114	1255
25	118	1243
26	122	1234
27	125	1221
28	129	1209
29	133	1198
30	136	1187
31	140	1176
32	144	1168
33	149	1170
34	153	1163
35	157	1157
36	162	1152
37	166	1146
38	170	1142
39	174	1134
40	178	1128
41	182	1123
42	188	1125
43	193	1126
44	197	1118
45	201	1115
46	205	1107
47	209	1100
48	213	1095
49	219	1095
50	223	1089
51	227	1083
52	231	1077
53	235	1070
54	238	1063
55	242	1057
56	246	1050
57	250	1044
58	254	1037
59	257	1030
60	261	1025
61	266	1021
62	269	1015
63	275	1016
64	279	1011
65	284	1008
66	288	1001
67	292	996
68	295	990
69	299	984
70	303	978
71	307	972
72	311	967
73	314	961
74	318	955
75	322	949
76	326	944
77	329	938
78	333	932
79	336	925
80	340	920
81	344	915
82	350	916
83	354	911
84	358	906
85	362	901
86	366	896
87	369	891
88	374	886
89	377	881
90	381	877
91	386	872
92	389	867
93	393	861
94	397	856
95	400	850
96	404	845
97	407	840
98	411	835
99	415	830
100	419	826
101	422	820
102	426	815
103	429	809
104	433	804
105	436	799
106	440	795
107	444	789
108	447	784
109	450	778
110	454	774
111	460	772
112	464	768
113	467	763
114	471	757
115	474	752
116	477	747
117	481	742
118	484	737
119	488	732
120	492	728
121	496	724
122	499	719
123	503	715
124	508	711
125	511	706
126	516	703
127	520	699
128	523	694
129	527	689
130	531	685
131	535	681
132	538	676
133	542	671
134	548	670
135	552	666
136	556	662
137	560	657
138	564	654
139	568	649
140	572	645
141	577	642
142	582	639
143	586	635
144	590	631
145	594	627
146	598	622
147	603	619
148	606	615
149	611	611
150	615	607
151	620	604
152	624	600
153	628	595
154	631	591
155	635	586
156	639	582
157	642	577
158	646	573
159	650	569
160	654	564
161	658	561
162	662	556
163	666	552
164	669	547
165	674	544
166	678	540
167	682	536
168	686	531
169	690	527
170	694	523
171	697	519
172	701	514
173	704	510
174	708	506
175	712	501
176	716	497
177	720	493
178	724	489
179	727	485
180	730	480
181	734	475
182	739	472
183	742	468
184	746	464
185	750	460
186	754	455
187	757	451
188	761	447
189	766	443
190	769	439
191	773	435
192	777	431
193	781	426
194	786	423
195	789	419
196	793	414
197	797	410
198	800	406
199	804	402
200	807	397
201	811	393
202	814	389
203	818	385
204	821	380
205	824	376
206	828	372
207	831	367
208	834	363
209	838	359
210	841	355
211	845	351
212	849	347
213	853	343
214	857	338
215	860	334
216	864	330
217	867	326
218	871	322
219	874	318
220	878	313
221	881	309
222	885	305
223	889	301
224	892	297
225	895	293
226	901	289
227	904	285
228	908	281
229	911	277
230	914	273
231	918	269
232	921	265
233	925	260
234	930	257
235	934	253
236	937	249
237	941	245
238	944	241
239	948	237
240	952	233
241	957	229
242	961	225
243	964	221
244	968	217
245	971	213
246	975	209
247	979	205
248	983	201
249	986	197
250	990	193
251	993	189
252	997	185
253	1000	181
254	1004	177
255	1008	173
256	1011	169
257	1015	165
258	1018	161
259	1022	157
260	1025	153
261	1029	149
262	1033	145
263	1037	141
264	1040	137
265	1044	133
266	1047	129
267	1051	125
268	1055	121
269	1058	117
270	1062	113
271	1068	109
272	1072	106
273	1076	102
274	1080	98
275	1084	94
276	1088	90
277	1092	86
278	1096	82
279	1100	78
280	1104	74
281	1108	70
282	1112	66
283	1116	62
284	1120	58
285	1123	55
286	1129	51
287	1133	47
288	1138	43
289	1143	39
290	1147	35
291	1151	31
292	1156	27
293	1160	23
294	1165	19
295	1169	15
296	1174	11
297	1178	7
298	1182	3
299	1186	0
