Feature,VIF
PoolQC_None,27975.551254427923
MiscFeature_None,15145.973819331684
RoofMatl_CompShg,7995.482136449935
GarageCond_TA,2509.5740371256425
GarageQual_TA,2211.93225190685
Heating_GasA,1738.1580627334865
Condition2_Norm,1140.2915578172995
TotalHouseArea,1008.5807643217383
ExterCond_TA,729.1411589025595
RoofStyle_Gable,726.633495966915
MiscFeature_Shed,485.05221388570834
Street_Pave,406.41548645677506
MSZoning_RL,230.82748098602102
RoofStyle_Hip,183.69319137216647
Exterior1st_VinylSd,173.30985181218404
PoolArea,163.47265838655363
Exterior2nd_VinylSd,160.96233515992395
GarageType_Attchd,147.81185665147473
Functional_Typ,144.2319837173052
BsmtFinType2_Unf,137.20071068622426
Exterior1st_MetalSd,89.32158413496725
Exterior2nd_MetalSd,83.67334694943469
ExterCond_Gd,83.61854499143077
GarageQual_Fa,82.87349687567934
Exterior1st_HdBoard,70.6383826116591
RoofMatl_Tar&Grv,70.55063408865291
GarageCond_Fa,67.76274235005377
GarageType_Detchd,65.50842582440401
Exterior2nd_HdBoard,62.19930232303969
Exterior1st_Wd Sdng,60.018402220439164
SaleType_New,55.78538276438858
Exterior2nd_Wd Sdng,54.80437836457804
SaleCondition_Partial,53.06104850375433
FireplaceQu_None,51.84899668971721
ExterQual_TA,49.318509790777014
Alley_None,47.20349193865206
BsmtCond_TA,45.44572419832057
BsmtFinSF1,43.31378418024156
SaleType_WD,42.8832811865062
Exterior1st_CemntBd,42.656634600286296
Condition1_Norm,41.62226337962712
Exterior2nd_CmentBd,40.70072067780759
Exterior2nd_Plywood,40.23472112452894
BsmtUnfSF,40.222377562992484
CentralAir_Y,39.56091545642643
MSZoning_RM,38.62436893024351
GrLivArea,37.771641005543664
TotalBathrooms,37.589940537650406
HouseAge,35.822746887814674
LandContour_Lvl,34.87428176255027
MSSubClass,34.76384710152166
RoofMatl_WdShngl,34.224931559190466
Exterior1st_Plywood,33.443421459195974
PavedDrive_Y,31.347220423831264
Fence_None,30.674078549459495
RoofMatl_WdShake,29.92290071299309
Neighborhood_NAmes,28.085283926877327
GarageQual_Gd,25.373736120802363
BsmtFinType2_None,24.711633068812212
BsmtExposure_None,23.522315111733874
