Experiment,Accuracy,Precision,Recall,F1 Score,ROC-AUC
GRU - Baseline,0.8767141704759344,0.8659043659043659,0.8925796946155907,0.8790397045244691,0.9458394022311853
GRU - Embedding 256,0.8759075020166711,0.8507239141288068,0.9129386552370747,0.8807339449541285,0.9408294479734127
GRU - Hidden Units 128,0.8741597203549342,0.8700714474728765,0.8807929279399946,0.8753993610223643,0.9438370184151057
GRU - Dropout,0.8720086044635654,0.844097995545657,0.9137422984195017,0.8775405196809879,0.9451193769831242
GRU - RMSprop,0.8928475396611992,0.906423034330011,0.8770425930886686,0.8914908100748808,0.9576742862741142
GRU - Batch Normalization,0.8588330196289325,0.9172628304821151,0.7899812483257433,0.8488773747841105,0.945252522185143
GRU - Learning Rate 0.0001,0.5289056197902662,0.516382887394477,0.9667827484596839,0.6731952993844432,0.5875382164327136
GRU - Batch Size 64,0.8677063726808282,0.8514446433137305,0.8920439324939726,0.8712715855572999,0.9350837788076074
GRU - Early Stopping,0.8854530787846195,0.8887989203778678,0.8821323332440396,0.8854530787846195,0.9516781971206943
GRU - Learning Rate Scheduling,0.8777897284216187,0.8957399103139013,0.8561478703455666,0.8754965073277633,0.9478420029550065
GRU - Recurrent Dropout,0.8815541812315139,0.8879216539717084,0.8743637824805787,0.8810905655284114,0.9434798798186507
