Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC
XGBoost - Baseline,0.7565649396735273,0.527336860670194,0.7994652406417112,0.6354941551540914,0.8465938153917693,0.660381918273695
Random Forest - Baseline,0.7572746628814763,0.5296296296296297,0.7647058823529411,0.6258205689277899,0.8389030974708724,0.6430575304721634
Logistic Regression - Baseline,0.7366926898509581,0.5025641025641026,0.786096256684492,0.6131386861313869,0.8403782066186158,0.6298920734889117
Decision Tree - Baseline,0.7267565649396736,0.4909090909090909,0.7941176470588235,0.6067415730337079,0.8218217985481412,0.6147725859107765
Gradient Boosting - Baseline,0.8048261178140526,0.6701030927835051,0.5213903743315508,0.5864661654135338,0.8443850267379679,0.6560030769448948
KNN - Baseline,0.7679205110007097,0.5685131195335277,0.5213903743315508,0.5439330543933054,0.7910434265932986,0.5312293424808274
Logistic Regression - Improved,0.8041,0.675,0.5053,0.578,0.8409,0.6273
Decision Tree - Improved,0.7793,0.5975,0.516,0.5538,0.813,0.6053
KNN - Improved,0.7793,0.594,0.5321,0.5614,0.8183,0.5703
Random Forest - Improved,0.7892,0.6323,0.492,0.5534,0.8362,0.6351
Gradient Boosting - Improved,0.7892,0.6711,0.4037,0.5042,0.8404,0.6494
XGBoost - Improved,0.7495,0.5185,0.7861,0.6249,0.8441,0.6559
